date,origin_country,destination_region,barrels,vessel_count
2020-01-01,Saudi Arabia,Global,9077950,45
2020-01-01,USA,Global,7982703,40
2020-01-01,Russia,Global,7600596,38
2020-01-01,Iraq,Global,4731897,24
2020-01-01,UAE,Global,3468320,17
2020-01-02,Saudi Arabia,Global,8971764,45
2020-01-02,USA,Global,8243766,41
2020-01-02,Russia,Global,7622000,38
2020-01-02,Iraq,Global,4436463,22
2020-01-02,UAE,Global,3588268,18
2020-01-03,Saudi Arabia,Global,8940811,45
2020-01-03,USA,Global,7940464,40
2020-01-03,Russia,Global,7546618,38
2020-01-03,Iraq,Global,4223332,21
2020-01-03,UAE,Global,3251586,16
2020-01-04,Saudi Arabia,Global,8929417,45
2020-01-04,USA,Global,7861836,39
2020-01-04,Russia,Global,7560898,38
2020-01-04,Iraq,Global,4377557,22
2020-01-04,UAE,Global,3301915,17
2020-01-05,Saudi Arabia,Global,9237040,46
2020-01-05,USA,Global,7983327,40
2020-01-05,Russia,Global,7527322,38
2020-01-05,Iraq,Global,4303481,22
2020-01-05,UAE,Global,3435536,17
2020-01-06,Saudi Arabia,Global,9037259,45
2020-01-06,USA,Global,7847971,39
2020-01-06,Russia,Global,7576975,38
2020-01-06,Iraq,Global,4430525,22
2020-01-06,UAE,Global,3476866,17
2020-01-07,Saudi Arabia,Global,8933786,45
2020-01-07,USA,Global,8301883,42
2020-01-07,Russia,Global,7522017,38
2020-01-07,Iraq,Global,4365385,22
2020-01-07,UAE,Global,3647423,18
2020-01-08,Saudi Arabia,Global,8844329,44
2020-01-08,USA,Global,8058785,40
2020-01-08,Russia,Global,7233505,36
2020-01-08,Iraq,Global,4328228,22
2020-01-08,UAE,Global,3556985,18
2020-01-09,Saudi Arabia,Global,9141632,46
2020-01-09,USA,Global,8056567,40
2020-01-09,Russia,Global,7513515,38
2020-01-09,Iraq,Global,4485696,22
2020-01-09,UAE,Global,3309083,17
2020-01-10,Saudi Arabia,Global,8926282,45
2020-01-10,USA,Global,7965163,40
2020-01-10,Russia,Global,7692827,38
2020-01-10,Iraq,Global,4585801,23
2020-01-10,UAE,Global,3269803,16
2020-01-11,Saudi Arabia,Global,9086258,45
2020-01-11,USA,Global,7979883,40
2020-01-11,Russia,Global,7436107,37
2020-01-11,Iraq,Global,4629397,23
2020-01-11,UAE,Global,3692295,18
2020-01-12,Saudi Arabia,Global,9180713,46
2020-01-12,USA,Global,7915138,40
2020-01-12,Russia,Global,7494639,37
2020-01-12,Iraq,Global,4590710,23
2020-01-12,UAE,Global,3687353,18
2020-01-13,Saudi Arabia,Global,8972508,45
2020-01-13,USA,Global,8016535,40
2020-01-13,Russia,Global,7378434,37
2020-01-13,Iraq,Global,4364953,22
2020-01-13,UAE,Global,3666263,18
2020-01-14,Saudi Arabia,Global,9251171,46
2020-01-14,USA,Global,8036933,40
2020-01-14,Russia,Global,7698264,38
2020-01-14,Iraq,Global,4601980,23
2020-01-14,UAE,Global,3450967,17
2020-01-15,Saudi Arabia,Global,9105280,46
2020-01-15,USA,Global,8281776,41
2020-01-15,Russia,Global,7545697,38
2020-01-15,Iraq,Global,4785767,24
2020-01-15,UAE,Global,3158109,16
2020-01-16,Saudi Arabia,Global,9177677,46
2020-01-16,USA,Global,8067449,40
2020-01-16,Russia,Global,7509541,38
2020-01-16,Iraq,Global,4568156,23
2020-01-16,UAE,Global,3256256,16
2020-01-17,Saudi Arabia,Global,9024746,45
2020-01-17,USA,Global,8111263,41
2020-01-17,Russia,Global,7779381,39
2020-01-17,Iraq,Global,4479956,22
2020-01-17,UAE,Global,3436422,17
2020-01-18,Saudi Arabia,Global,8985721,45
2020-01-18,USA,Global,8198295,41
2020-01-18,Russia,Global,7610297,38
2020-01-18,Iraq,Global,4481520,22
2020-01-18,UAE,Global,3637974,18
2020-01-19,Saudi Arabia,Global,9078816,45
2020-01-19,USA,Global,8209551,41
2020-01-19,Russia,Global,7458946,37
2020-01-19,Iraq,Global,4515105,23
2020-01-19,UAE,Global,3505438,18
2020-01-20,Saudi Arabia,Global,8847977,44
2020-01-20,USA,Global,8111923,41
2020-01-20,Russia,Global,7606663,38
2020-01-20,Iraq,Global,4568272,23
2020-01-20,UAE,Global,3532317,18
2020-01-21,Saudi Arabia,Global,8858430,44
2020-01-21,USA,Global,8007638,40
2020-01-21,Russia,Global,7519328,38
2020-01-21,Iraq,Global,4450394,22
2020-01-21,UAE,Global,3546542,18
2020-01-22,Saudi Arabia,Global,9134553,46
2020-01-22,USA,Global,8356873,42
2020-01-22,Russia,Global,7600132,38
2020-01-22,Iraq,Global,4612577,23
2020-01-22,UAE,Global,3562778,18
2020-01-23,Saudi Arabia,Global,8789317,44
2020-01-23,USA,Global,8073156,40
2020-01-23,Russia,Global,7586167,38
2020-01-23,Iraq,Global,4946619,25
2020-01-23,UAE,Global,3548279,18
2020-01-24,Saudi Arabia,Global,9125530,46
2020-01-24,USA,Global,8075091,40
2020-01-24,Russia,Global,7404996,37
2020-01-24,Iraq,Global,4751721,24
2020-01-24,UAE,Global,3693088,18
2020-01-25,Saudi Arabia,Global,9202094,46
2020-01-25,USA,Global,7947031,40
2020-01-25,Russia,Global,7793858,39
2020-01-25,Iraq,Global,4373161,22
2020-01-25,UAE,Global,3671467,18
2020-01-26,Saudi Arabia,Global,9415123,47
2020-01-26,USA,Global,7937975,40
2020-01-26,Russia,Global,7501610,38
2020-01-26,Iraq,Global,4601503,23
2020-01-26,UAE,Global,3511034,18
2020-01-27,Saudi Arabia,Global,8857046,44
2020-01-27,USA,Global,8099930,40
2020-01-27,Russia,Global,7430300,37
2020-01-27,Iraq,Global,4660685,23
2020-01-27,UAE,Global,3451732,17
2020-01-28,Saudi Arabia,Global,9325200,47
2020-01-28,USA,Global,7975222,40
2020-01-28,Russia,Global,7544401,38
2020-01-28,Iraq,Global,4714738,24
2020-01-28,UAE,Global,3408080,17
2020-01-29,Saudi Arabia,Global,9129866,46
2020-01-29,USA,Global,8291818,41
2020-01-29,Russia,Global,7354624,37
2020-01-29,Iraq,Global,4623442,23
2020-01-29,UAE,Global,3634729,18
2020-01-30,Saudi Arabia,Global,9216029,46
2020-01-30,USA,Global,7913213,40
2020-01-30,Russia,Global,7400687,37
2020-01-30,Iraq,Global,4677046,23
2020-01-30,UAE,Global,3643303,18
2020-01-31,Saudi Arabia,Global,9139308,46
2020-01-31,USA,Global,8153701,41
2020-01-31,Russia,Global,7499730,37
2020-01-31,Iraq,Global,4636572,23
2020-01-31,UAE,Global,3645695,18
2020-02-01,Saudi Arabia,Global,8997530,45
2020-02-01,USA,Global,8384549,42
2020-02-01,Russia,Global,7675758,38
2020-02-01,Iraq,Global,4425988,22
2020-02-01,UAE,Global,3703166,19
2020-02-02,Saudi Arabia,Global,8961399,45
2020-02-02,USA,Global,8225664,41
2020-02-02,Russia,Global,7781390,39
2020-02-02,Iraq,Global,4484499,22
2020-02-02,UAE,Global,3752107,19
2020-02-03,Saudi Arabia,Global,9172404,46
2020-02-03,USA,Global,8233796,41
2020-02-03,Russia,Global,7895006,39
2020-02-03,Iraq,Global,4573679,23
2020-02-03,UAE,Global,3497427,17
2020-02-04,Saudi Arabia,Global,8979913,45
2020-02-04,USA,Global,7990969,40
2020-02-04,Russia,Global,7601775,38
2020-02-04,Iraq,Global,4664513,23
2020-02-04,UAE,Global,3654844,18
2020-02-05,Saudi Arabia,Global,9240238,46
2020-02-05,USA,Global,8118110,41
2020-02-05,Russia,Global,7834190,39
2020-02-05,Iraq,Global,4576462,23
2020-02-05,UAE,Global,4024185,20
2020-02-06,Saudi Arabia,Global,9212795,46
2020-02-06,USA,Global,7990372,40
2020-02-06,Russia,Global,7458311,37
